Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Get Comments,833,0,99,150.7683196122425,84.4661660003112,2291.1028339999575,157745.0,14.06612691002437,0.0,99,100,110,120,270,390,690,970,2300,2300,2300
GET,Get Posts,562,0,95,123.76527245017981,82.76187499996013,1283.4190420003324,27520.0,9.4899919849144,0.0,95,100,100,110,150,310,470,620,1300,1300,1300
GET,Get Users,299,0,110.0,162.55982817058285,82.84708300016064,1227.6050420000502,5645.0,5.048945913682216,0.0,110,190,210,220,250,280,530,770,1200,1200,1200
,Aggregated,1694,0,100.0,143.89107554722713,82.76187499996013,2291.1028339999575,87695.20661157025,28.605064808620984,0.0,100,100,110,120,250,350,560,770,2200,2300,2300
